     DATE        TIME   ,  Infosys,Wipro,TATA MOTORS,BAJAJ FINANCE,BANK OF INDIA,BIRLA,BOSCH,HDFC
2021-01-27 12:07:05.237797,1317.39,450.17,270.11,4864.24,50.07,719.55,385.08,15773.18,1452.79
2021-01-27 12:07:17.954999,1317.39,450.17,270.1,4864.24,50.07,719.55,385.08,15773.18,1452.79
2021-01-27 12:07:30.514105,1317.39,450.17,270.1,4864.24,50.07,719.55,385.08,15773.18,1452.17
2021-01-27 12:07:42.546669,1317.39,450.17,270.1,4864.23,50.07,719.55,385.08,15773.18,1452.17
2021-01-27 12:07:56.183096,1317.39,450.17,270.1,4864.23,50.07,719.55,385.08,15773.18,1452.17
2021-01-27 12:08:07.134627,1317.39,450.17,270.1,4864.23,50.07,719.55,385.08,15773.18,1452.17
2021-01-27 12:08:18.103183,1317.38,450.18,270.1,4864.23,50.07,719.55,385.08,15773.17,1452.17
2021-01-27 12:08:29.022894,1317.38,450.18,270.1,4864.23,50.07,719.55,385.08,15773.18,1452.17
2021-01-27 12:08:40.021746,1317.38,450.18,270.1,4864.23,50.07,719.54,385.08,15773.17,1452.17
2021-01-27 12:08:50.998309,1317.38,450.18,270.1,4864.23,50.07,719.54,385.09,15773.36,1452.17
2021-01-27 12:09:01.750472,1317.38,450.18,270.1,4864.23,50.07,719.54,385.09,15773.36,1452.17
2021-01-27 12:09:12.545719,1317.38,450.18,270.1,4864.23,50.07,719.54,385.09,15773.36,1452.17
2021-01-27 12:09:23.484960,1317.38,450.18,270.1,4864.19,50.07,719.54,385.09,15773.36,1452.17
2021-01-27 12:09:34.583435,1317.38,450.18,270.1,4864.19,50.07,719.54,385.09,15773.36,1452.05
2021-01-27 12:09:45.521349,1317.38,450.18,270.1,4864.19,50.07,719.54,385.09,15773.36,1452.08
2021-01-27 12:09:56.437728,1317.38,450.18,270.1,4864.19,50.07,719.54,385.09,15773.36,1452.05
2021-01-27 12:10:07.744968,1317.37,450.18,270.1,4864.19,50.07,719.54,385.09,15773.36,1452.05
2021-01-27 12:10:19.407039,1317.37,450.18,270.1,4864.19,50.07,719.54,385.09,15773.38,1452.05
2021-01-27 12:10:30.614132,1317.37,450.19,270.1,4864.19,50.07,719.55,385.09,15773.38,1452.05
2021-01-27 12:10:41.444186,1317.37,450.19,270.1,4864.19,50.07,719.55,385.09,15773.38,1452.05
2021-01-27 12:10:56.140812,1317.37,450.19,270.1,4864.18,50.07,719.55,385.09,15773.38,1452.08
